peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
7.11,152153.082446808,167804.848,183774.699468085,126547.978723404,166481.68,174787.818666667,125128.2,174927.228723404,177247.874999999,146149.6,167263.279999999,178788.544,132988.786666666,170318.530666666,180431.388297872,122966.253333333,187316.478723404,184048.521276596,116275.707446809,157638.752,154684.611702127,112242.522666667,147938.744680851,159785.165333333,139252.096,158229.093333333,158578.528,133049.016,166634.271276596,177515.957446808,135508.04,170681.231999999,165163.992,129566.421333333,172259.613333332,189561.079999999
7.16,1001639.17463831,1278535.51775888,1345584.42212767,918738.071404265,1251237.61879433,1329424.91449646,897529.528758871,1228368.06832625,1244586.01624114,1605243.86763122,1962481.04158868,2092224.03290781,1325171.55841137,1766815.96817024,1858467.2764681,1121285.60429079,1668973.38397874,1629252.32073761,543041.871801418,750787.568319147,720404.207978721,547355.873758864,726038.405411346,780505.520333332,673912.372219858,770178.660723404,770978.098397163,1120329.62028369,1421028.04499293,1616523.57368794,1181203.6107376,1551742.49419861,1424594.58280849,1152490.26305675,1573750.72714896,1683919.77600002
7.2,244839.621333334,280191.762666667,281040.16,217656.408,286450.166808509,289097.335489361,206968.521333334,261174,262922.629503547,306124.820709218,395912.870496456,468281.403815599,251595.814255318,354498.688000003,340600.395957445,197055.875021277,288186.589574469,272837.893333334,187825.818524822,261282.209929079,238167.872,182074.401496454,256024.792170213,264797.173333333,232889.933333333,259978.388758865,255651.51222695,456509.169971628,390927.530666669,434430.933333328,349462.665304963,361666.258581556,544917.90140425,322445.196170213,364024.775531913,341308.031028372
7.27,1946731.02904963,2241424.55341841,2026000.40852482,1984699.26595037,2179778.61409221,2056119.33962411,1878232.91368794,2032308.70905672,1829987.30100707,2587869.46277308,3092828.74297876,2515725.41197163,2073470.52564537,2250526.74332622,2074564.50978722,1779025.68234042,2181560.08754607,1970296.58675175,1314651.19339007,1700467.54652484,1505715.49046808,1366684.29075177,1520627.95902127,1579074.85865956,1492545.46141842,1851336.13623403,1791099.0772482,2099482.12967376,2739147.3573333,2554542.75003546,2812305.86751062,3224979.45171625,2022329.37724825,2417587.79225533,2664441.96533333,2296357.3373617
7.35,314579.033304964,368150.231801418,373746.879134751,266220.252631206,348143.233482271,354407.361234043,266890.398411347,373948.629134751,359935.069333333,304315.796666667,343261.429248227,380264.655957448,282778.575453901,354923.739226951,367589.845475177,263105.320978724,407473.587234043,417566.700347517,278250.200567376,351921.650042553,341871.304099291,253802.351914894,343111.776,362003.685333333,306579.821333334,356334.839773049,359915.367879433,291814.774794327,322729.910517731,344321.056723404,284352.591460993,367350.48612766,348979.987695036,263611.75448227,373167.083070922,367663.677992908
7.44,1649936.13010638,1785779.48985816,1877686.8109929,1475509.77794326,1833725.26741136,1914917.49858156,1408761.24019149,1978662.89370213,2010560.12379433,1693399.82219859,1814521.80335461,2030417.6582766,1381892.30597872,1728471.90266666,1847837.81482269,1538675.19402128,2256776.55357446,2292464.10412766,1588935.26503547,2013152.32526952,2077647.08487235,1570408.72100709,2165078.83432626,2399000.82870924,1420003.49596454,1986930.14828369,2131039.20204253,1865185.38377305,1957160.53719148,2034860.86163122,1503853.39856029,1953058.29268086,1814906.22041845,1413775.06492199,1925960.38882978,2015320.34476595
7.51,780019.039099291,890129.717985823,938587.01435461,650646.15656738,874573.454297876,904669.374156034,673299.605631206,914485.922553197,901013.755070928,1112487.24385816,1321661.68975179,1359694.60680853,916685.429177306,1160151.86859576,1238987.7742837,752918.370539014,1079174.77724115,1079300.47490781,461474.24374468,622758.963078014,583899.894645392,460983.315460992,616939.721971631,667732.267234043,508570.527184398,669203.1750922,686722.994453902,819131.513595751,1057241.59483688,1089837.31608511,828717.886184401,1122568.21965249,928300.899560288,803922.178702136,1133477.9767305,1158172.32082271
7.58,34009833.180192,56582389.2773343,53448974.7277885,50354925.6872491,67715308.0636029,71541242.6592987,50547644.2053333,62291012.5804257,59321717.7076173,50565617.4185108,67220982.7724551,66620442.5920009,47711306.1414184,63176825.8000011,65249031.5652127,45664919.0751501,56384230.3147163,56478453.2802129,46213261.4761707,68843166.4079999,65086823.9058447,46885523.4091711,61391926.4812494,64477627.7283551,38743431.7786667,64751117.5175107,61628198.341334,39256091.9754332,57740118.5106255,62461210.7612777,52156986.9226675,71621420.1573336,60263291.7266952,45419140.7260001,61228373.6574468,60839469.9110368
7.69,970017.35129078,1176272.368,1227247.76533333,928339.65848937,1203427.7915532,1236730.03110638,933339.382425531,1172245.25341134,1152256.30475177,1210116.83883688,1382118.34794326,1503954.22533335,1107805.94121985,1363274.112,1430151.66734751,898072.09405674,1307367.28056737,1272702.76,847168.557666674,1140890.69866667,1106838.56771631,820529.729333334,1049402.85649646,1103700.74625532,841616.882666661,1094643.33785816,1085937.94473759,1277207.88619859,1595401.35733332,1601682.24329077,1177216.48757446,1562409.11162411,1418681.28504965,1127324.64731915,1513679.82784396,1490570.49812057
7.73,1533677.95273758,1534352.77665247,1769296.04548226,1148157.41211347,1493653.82802127,1583017.78436879,1244356.83129078,1705358.24060993,1651431.70056737,1366782.03010638,1473155.17198581,1499173.46042553,1247762.26741844,1533744.64101417,1647240.33228369,1173488.70082268,1769427.4846383,1710831.11875177,1075708.5670851,1469363.77187233,1343143.19341843,1094054.12173049,1450142.37108509,1563615.7499078,1250748.6299149,1563523.96902127,1689669.74699291,1403162.35012766,1689158.37761701,1693194.03153191,1201089.45575886,1674739.83815602,1342212.96512056,1182971.70133333,1666236.03711348,1692356.8967163
