peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL,cosineSimilarityOfBestMatch,bestMatch,bestMatchFiehnLib,bestMatchCasNo
4,-0.204854700164521,-0.220481253388405,0.128953718071536,0.102256058013714,-0.469338344100635,-0.484964897324516,0.0596289437715937,0.0440023905477054,0.993996147288047,"[1060] pyruvic acid [6.714]","[1060] pyruvic acid [6.714]",127173
5,-0.194677978310083,-0.0859188393427093,0.149065578418375,0.52422051637712,-0.459161622246198,-0.35040248327882,0.0698056656260311,0.178564804593401,0.98645936455175,"[107689] L-(+) lactic acid [6.851]","[107689] L-(+) lactic acid [6.851]",79334
10,-0.385405922305632,-0.15071106236199,0.00430065224437429,0.26397460056457,-0.649889566241747,-0.415194706298101,-0.120922278369518,0.113772581574121,0.993642183483469,"[5950] L-alanine 1 [7.4748]","[5950] L-alanine 1 [7.4748]",56417
12,-0.278424920235805,0.232337938763468,0.0390919339496612,0.0850966819604408,-0.542908564171919,-0.0321457051726426,-0.0139412762996904,0.496821582699579,0.884150605599365,"[49] 3-methyl-2-oxobutanoic acid 1 [7.562]","[49] 3-methyl-2-oxobutanoic acid 1 [7.562]",3715295
13,-0.60407691544616,-0.33348600208165,7.76342400682995e-06,0.0134763324534585,-0.868560559382275,-0.597969646017761,-0.339593271510045,-0.0690023581455395,0.513826079979285,"[9316] methyl linolenate [19.432]","[9316] methyl linolenate [19.432]",301008
14,-0.317686288347176,-0.157665599460082,0.0185750452163087,0.242571814157056,-0.582169932283291,-0.422149243396193,-0.0532026444110616,0.106818044476029,0.896104327316736,"[64956] DL-3-aminoisobutyric acid 1 [9.066]","[64956] DL-3-aminoisobutyric acid 1 [9.066]",10569719
17,-0.245386087296124,0.158361074963215,0.068986653456897,0.240500619422752,-0.509869731232239,-0.106122568972896,0.0190975566399903,0.422844718899326,0.829811897708647,"[49] 3-methyl-2-oxobutanoic acid 2 [7.928]","[49] 3-methyl-2-oxobutanoic acid 2 [7.928]",3715295
19,-0.350076126140731,-0.157314506392024,0.0094938314460999,0.243622157012754,-0.614559770076845,-0.421798150328135,-0.085592482204616,0.107169137544087,0.809380728668724,"[440294] cis-1,2-dihydro-1,2-naphthalenediol [14.877]","[440294] cis-1,2-dihydro-1,2-naphthalenediol [14.877]",51268883
21,-0.0857844866095485,0.0136739352635529,0.524869419964446,0.919266634994711,-0.350268130545663,-0.250809708672558,0.178699157326566,0.278157579199664,0.825652414609525,"[5351896] trans-3-hexenedioic acid [13.08]","[5351896] trans-3-hexenedioic acid [13.08]",4436742
24,-0.458002544005526,0.0702905495257921,0.000693161464510891,0.602355016202709,-0.72248618794164,-0.194193094410319,-0.193518900069411,0.334774193461903,0.908750776815061,"[70] 2-ketoisocaproic acid 1 [8.541]","[70] 2-ketoisocaproic acid 1 [8.541]",4502005
25,-0.153007104679159,0.145201774375774,0.256768931497828,0.281829440714261,-0.417490748615273,-0.119281869560337,0.111476539256956,0.409685418311884,0.692249598267158,"[5280451] maleamic acid 1 [12.152]","[5280451] maleamic acid 1 [12.152]",557244
26,-0.516562858367089,-0.0299259695386062,0.000130670293439781,0.824450450098374,-0.781046502303204,-0.294409613474717,-0.252079214430975,0.234557674397505,0.839959004106211,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
29,-0.0177921671678813,0.0676708013178403,0.895076259552661,0.615949545669238,-0.282275811103996,-0.196812842618271,0.246691476768233,0.332154445253951,0.81227967706097,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
31,0.190890322005991,0.219728435190339,0.157134266652152,0.103432450216906,-0.0735933219301236,-0.0447552087457722,0.455373965942106,0.48421207912645,0.863307261240234,"[750] glycine [10.456]","[750] glycine [10.456]",56406
33,0.10959748412729,-0.361895678856217,0.416590008764414,0.00733526449797917,-0.154886159808825,-0.626379322792328,0.374081128063405,-0.0974120349201057,0.858861662016641,"[115288] 2-amino-2-norbornanecarboxylic acid  1 [11.391]","[115288] 2-amino-2-norbornanecarboxylic acid  1 [11.391]",20448797
37,0.0169730687802301,-0.157324593009377,0.899880578670482,0.243591936991185,-0.247510575155885,-0.421808236945488,0.281456712716345,0.107159050926734,0.993353968226302,"[21236] L-norleucine 2 [10.607]","[21236] L-norleucine 2 [10.607]",327571
38,-0.299927317165132,-0.0332629782696527,0.0262526249139848,0.805248943901117,-0.564410961101247,-0.297746622205764,-0.0354436732290176,0.231220665666458,0.856982334642466,"[1004] phosphoric acid [9.966]","[1004] phosphoric acid [9.966]",7664382
39,-0.172279000611005,-0.0233815262373035,0.201647811010256,0.862404243175308,-0.43676264454712,-0.287865170173414,0.0922046433251092,0.241102117698807,0.691168737574608,"[91493] 6-phosphogluconic acid [22.289]","[91493] 6-phosphogluconic acid [22.289]",53411704
40,-0.0968627345445262,0.038426145735551,0.472777759820423,0.775773595813326,-0.361346378480641,-0.22605749820056,0.167620909391588,0.302909789671662,0.766750881168812,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
41,-0.114319917113772,-0.0612467733335569,0.39679929022952,0.649840756577849,-0.378803561049886,-0.325730417269668,0.150163726822343,0.203236870602554,0.676931873709473,"[151138] cis-4-hydroxycyclohexanecarboxylic acid [12.776]","[151138] cis-4-hydroxycyclohexanecarboxylic acid [12.776]",3685221
