D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\P_plate2_run2_10302020.D Sat Oct 31 03:03:17 2020
Start of data points
5.99358,164732
5.99983,173488
6.00610,182882
6.01235,193246
6.01860,186255
6.02487,174196
6.03112,168955
6.03737,180051
6.04363,200050
6.04988,212972
6.05613,197391
6.06240,191825
6.06865,208506
6.07490,217853
6.08117,201936
6.08742,183751
6.09367,177457
6.09993,284975
6.10618,577650
6.11243,952116
6.11870,1003418
6.12495,688492
6.13120,382203
6.13747,238898
6.14372,208458
6.14997,228640
6.15623,339311
6.16248,559911
6.16873,863549
6.17498,1012799
6.18125,820550
6.18750,514157
6.19375,306447
6.20002,225342
6.20627,187280
6.21252,179551
6.21878,164338
6.22503,153910
6.23128,144738
6.23755,144324
6.24380,178004
6.25005,165141
6.25632,160077
6.26257,155187
6.26882,159458
6.27508,169777
6.28133,173358
6.28758,173458
6.29385,184840
6.30010,237093
6.30635,382206
6.31262,706401
6.31887,1321895
6.32512,2941864
6.33138,6905168
6.33763,1.320728E+07
6.34388,1.8744E+07
6.35015,1.779638E+07
6.35640,9377428
6.36265,2220174
6.36892,465667
6.37517,255370
6.38142,226116
6.38767,217184
6.39393,225662
6.40018,246971
6.40643,374720
6.41270,587771
6.41895,727179
6.42520,702594
6.43147,803531
6.43772,976072
6.44397,951535
6.45023,957408
6.45648,1941180
6.46273,5240071
6.46900,1.172406E+07
6.47525,2.040239E+07
6.48150,2.885028E+07
6.48777,3.545846E+07
6.49402,4.02902E+07
6.50027,4.406294E+07
6.50653,4.624515E+07
6.51278,4.647459E+07
6.51903,4.608605E+07
6.52530,4.495706E+07
6.53155,4.385018E+07
6.53780,4.343821E+07
6.54407,3.603491E+07
6.55032,2532457
6.55657,1036916
6.56283,1022134
6.56908,1169682
6.57533,1636633
6.58160,2264040
6.58785,2523372
6.59410,1887086
6.60037,954883
6.60662,479303
6.61287,361211
6.61912,327921
6.62538,305292
6.63163,302387
6.63788,304632
6.64415,313340
6.65040,304537
6.65665,300984
6.66292,320461
6.66917,394212
6.67542,493266
6.68168,483846
6.68793,391418
6.69418,334625
6.70045,312696
6.70670,297784
6.71295,309651
6.71922,335143
6.72547,348191
6.73172,352200
6.73798,372294
6.74423,375961
6.75048,379065
6.75675,393806
6.76300,391864
6.76925,393962
6.77552,391585
6.78177,392674
6.78802,399452
6.79428,411627
6.80053,463721
6.80678,544304
6.81305,592073
6.81930,583280
6.82555,528582
6.83180,501700
6.83807,516424
6.84432,548368
6.85057,591358
6.85683,597269
6.86308,549985
6.86933,516491
6.87560,577970
6.88185,736775
6.88810,890128
6.89437,906705
6.90062,744708
6.90687,605883
6.91313,527699
6.91938,478960
6.92563,448820
6.93190,438333
6.93815,430209
6.94440,448384
6.95067,433557
6.95692,411483
6.96317,426341
6.96943,402200
6.97568,375760
6.98193,367988
6.98820,362034
6.99445,347953
7.00070,315514
7.00697,321710
7.01322,323654
7.01947,364734
7.02573,555965
7.03198,1275177
7.03823,3340298
7.04450,7163659
7.05075,1.051439E+07
7.05700,9828395
7.06325,5651561
7.06952,2007788
7.07577,599410
7.08202,278348
7.08828,225028
7.09453,191721
7.10078,184990
7.10705,177077
7.11330,163531
7.11955,152616
7.12582,149670
7.13207,156436
7.13832,223366
7.14458,341768
7.15083,488242
7.15708,529656
7.16335,373158
7.16960,220957
7.17585,158317
7.18212,138533
7.18837,136543
7.19462,173682
7.20088,222288
7.20713,275536
7.21338,285591
7.21965,213254
7.22590,166677
7.23215,163363
7.23842,176246
7.24467,224141
7.25092,377817
7.25718,743430
7.26343,1196186
7.26968,1272331
7.27593,941100
7.28220,518643
7.28845,286659
7.29470,195246
7.30097,178375
7.30722,174086
7.31347,162954
7.31973,148900
7.32598,137000
7.33223,128409
7.33850,131625
7.34475,131588
7.35100,123676
7.35727,127425
7.36352,128105
7.36977,114445
7.37603,121202
7.38228,135768
7.38853,155779
7.39480,166139
7.40105,166665
7.40730,157164
7.41357,193616
7.41982,276770
7.42607,355678
7.43233,398744
7.43858,358539
7.44483,275764
7.45110,208208
7.45735,175897
7.46360,187290
7.46987,211141
7.47612,220483
7.48237,212866
7.48862,212330
7.49488,240377
7.50113,308847
7.50738,357834
7.51365,345327
7.51990,256337
7.52615,175213
7.53242,137775
7.53867,135693
7.54492,173127
7.55118,470547
7.55743,1853828
