D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\M_plate2_run1_10302020.D Fri Oct 30 20:00:27 2020
Start of data points
5.99357	177464
5.99983	188756
6.00608	201958
6.01233	192406
6.01860	183943
6.02485	191057
6.03110	189245
6.03737	186068
6.04362	177001
6.04987	171590
6.05613	177044
6.06238	172058
6.06863	177305
6.07490	162756
6.08115	160708
6.08740	208771
6.09367	407766
6.09992	762269
6.10617	969875
6.11243	760296
6.11868	437492
6.12493	246877
6.13120	189016
6.13745	192789
6.14370	245345
6.14995	363969
6.15622	594511
6.16247	876193
6.16872	934832
6.17498	706956
6.18123	399984
6.18748	237407
6.19375	190821
6.20000	172765
6.20625	165709
6.21252	159041
6.21877	143925
6.22502	143105
6.23128	136527
6.23753	135974
6.24378	131251
6.25005	122132
6.25630	121307
6.26255	131493
6.26882	140623
6.27507	138139
6.28132	138126
6.28758	124516
6.29383	119393
6.30008	117712
6.30635	122411
6.31260	134286
6.31885	163289
6.32512	224737
6.33137	285009
6.33762	284120
6.34388	214654
6.35013	158204
6.35638	135204
6.36263	137022
6.36890	142384
6.37515	136324
6.38140	133586
6.38767	150023
6.39392	217819
6.40017	344228
6.40643	467366
6.41268	464767
6.41893	457562
6.42520	623819
6.43145	770354
6.43770	647296
6.44397	399387
6.45022	318044
6.45647	532719
6.46273	1322487
6.46898	3407440
6.47523	8225352
6.48150	1.568089E+07
6.48775	2.187259E+07
6.49400	2.072243E+07
6.50027	1.048324E+07
6.50652	2458885
6.51277	475189
6.51903	252279
6.52528	241822
6.53153	263776
6.53780	336141
6.54405	558256
6.55030	1103895
6.55657	1825741
6.56282	1936246
6.56907	1308375
6.57533	634244
6.58158	335019
6.58783	254185
6.59408	224909
6.60035	202632
6.60660	197849
6.61285	191526
6.61912	182669
6.62537	195440
6.63162	203972
6.63788	219911
6.64413	205737
6.65038	204400
6.65665	237300
6.66290	303013
6.66915	339675
6.67542	294066
6.68167	231640
6.68792	207500
6.69418	196173
6.70043	198079
6.70668	206886
6.71295	223999
6.71920	243841
6.72545	245737
6.73172	242806
6.73797	250806
6.74422	254904
6.75048	263884
6.75673	263931
6.76298	261373
6.76925	265872
6.77550	264071
6.78175	277502
6.78802	287670
6.79427	297480
6.80052	308692
6.80677	313072
6.81303	325832
6.81928	326716
6.82553	336450
6.83180	351793
6.83805	387066
6.84430	411921
6.85057	406359
6.85682	368641
6.86307	367459
6.86933	391218
6.87558	438103
6.88183	497354
6.88810	497414
6.89435	444245
6.90060	384124
6.90687	352082
6.91312	332596
6.91937	315415
6.92563	314243
6.93188	305282
6.93813	306812
6.94440	303575
6.95065	284216
6.95690	276811
6.96317	264373
6.96942	261991
6.97567	263336
6.98193	260049
6.98818	248825
6.99443	231479
7.00070	221986
7.00695	223155
7.01320	224550
7.01945	248575
7.02572	312023
7.03197	544731
7.03822	1085558
7.04448	1823969
7.05073	2050833
7.05698	1478335
7.06325	744442
7.06950	319967
7.07575	181341
7.08202	143535
7.08827	132639
7.09452	123037
7.10078	114918
7.10703	116264
7.11328	107796
7.11955	105135
7.12580	111862
7.13205	116818
7.13832	124704
7.14457	112930
7.15082	102031
7.15708	96018
7.16333	104702
7.16958	107038
7.17585	108125
7.18210	101747
7.18835	94731
7.19462	91476
7.20087	87678
7.20712	87057
7.21338	90095
7.21963	94935
7.22588	95666
7.23215	100112
7.23840	116297
7.24465	146697
7.25090	211939
7.25717	345532
7.26342	467438
7.26967	482942
7.27593	372628
7.28218	239964
7.28843	155483
7.29470	129342
7.30095	122324
7.30720	110982
7.31347	104346
7.31972	100052
7.32597	95245
7.33223	91599
7.33848	84338
7.34473	85559
7.35100	83003
7.35725	81184
7.36350	87832
7.36977	85933
7.37602	95333
7.38227	109278
7.38853	123208
7.39478	119061
7.40103	111818
7.40730	130625
7.41355	207520
7.41980	315296
7.42607	378886
7.43232	351404
7.43857	242057
7.44483	158485
7.45108	117859
7.45733	118518
7.46358	135083
7.46985	141312
7.47610	139667
7.48235	148852
7.48862	145379
7.49487	140405
7.50112	126636
7.50738	110335
7.51363	91727
7.51988	85016
7.52615	88006
7.53240	84067
7.53865	94248
7.54492	165479
7.55117	568982
7.55742	2186459
7.56368	6193405
7.56993	1.244577E+07
7.57618	1.86817E+07
7.58245	2.107128E+07
7.58870	1.617418E+07
7.59495	6875162
7.60122	1844496
7.60747	732663
7.61372	592101
7.61998	551886
