peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL
6.34,-0.204854700163175,-0.220481253388466,0.12895371911757,0.102256058949355,-0.469338344820881,-0.484964898046177,0.0596289444945322,0.0440023912692458
6.51,-0.194677978308745,-0.0859188393427773,0.149065579530022,0.524220517508626,-0.459161622966452,-0.350402484000489,0.0698056663489618,0.178564805314934
7.05,-0.38540592230428,-0.150711062362045,0.00430065234988595,0.263974601867207,-0.649889566961986,-0.415194707019756,-0.120922277646573,0.113772582295667
7.16,-0.278424920234471,0.232337938763393,0.0390919344848599,0.0850966828114178,-0.542908564892178,-0.032145705894318,-0.0139412755767641,0.496821583421105
7.2,-0.604076915444815,-0.333486002081708,7.76342444896252e-06,0.0134763327072751,-0.868560560102522,-0.597969646739419,-0.339593270787109,-0.0690023574239964
7.27,-0.317686288345824,-0.157665599460132,0.0185750455374881,0.242571815441847,-0.582169933003531,-0.422149244117843,-0.0532026436881176,0.106818045197579
7.51,-0.245386087294773,0.158361074963155,0.0689866542157162,0.240500620705769,-0.50986973195248,-0.106122569694556,0.0190975573629333,0.422844719620866
7.69,-0.350076126139382,-0.157314506392088,0.00949383164158766,0.243622158298544,-0.614559770797089,-0.421798151049799,-0.0855924814816755,0.107169138265623
7.84,-0.0857844866081827,0.0136739352635058,0.524869421101811,0.919266635214503,-0.350268131265889,-0.250809709394205,0.178699158049524,0.278157579921217
8.12,-0.458002544004204,0.0702905495256946,0.000693161487914422,0.602355017193422,-0.722486188661911,-0.194193095132017,-0.193518899346498,0.334774194183406
8.24,-0.153007104677806,0.145201774375716,0.256768932799574,0.281829442027134,-0.417490749335513,-0.119281870281995,0.111476539979901,0.409685419033428
8.42,-0.516562858365732,-0.0299259695386544,0.000130670298969722,0.824450450569247,-0.781046503023439,-0.294409614196366,-0.252079213708025,0.234557675119057
8.7,-0.017792167166503,0.0676708013177975,0.895076259845349,0.615949546632282,-0.28227581182421,-0.196812843339914,0.246691477491204,0.332154445975509
8.86,0.190890322007329,0.219728435190271,0.157134267781027,0.103432451158078,-0.073593322650378,-0.0447552094674402,0.455373966665035,0.484212079847982
9.05,0.109597484128646,-0.361895678856267,0.416590010029922,0.007335264658177,-0.15488616052906,-0.626379323513978,0.374081128786353,-0.0974120341985554
